Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIRELESS,Total general
SANTA FE,San Jerónimo,San Genaro,462,0,0,855,0,0,49,1366
SANTA FE,San Jerónimo,San Genaro Norte,1026,1,0,55,0,0,0,1082
SANTA FE,San Jerónimo,San Eugenio,0,0,0,21,0,0,0,21
SANTA FE,San Justo,Angeloni,0,0,0,0,0,0,24,24
SANTA FE,San Justo,Cayastacito,0,0,0,0,0,0,54,54
SANTA FE,San Justo,Esther,0,0,0,0,0,0,10,10
SANTA FE,San Justo,Gobernador Crespo,150,1080,0,0,0,0,257,1487
SANTA FE,San Justo,La Criolla (Est. Cañadita),257,327,0,0,0,0,31,615
SANTA FE,San Justo,Marcelino Escalada,100,90,0,0,0,0,128,318
SANTA FE,San Justo,Naré,0,0,0,0,0,0,6,6
SANTA FE,San Justo,OTROS,0,0,0,0,0,28,0,28
SANTA FE,San Justo,Pedro Gómez Cello,0,0,0,0,0,0,94,94
SANTA FE,San Justo,Ramayón,0,0,0,0,0,0,144,144
SANTA FE,San Justo,San Bernardo,0,0,0,0,0,0,6,6
SANTA FE,San Justo,San Justo,661,44,0,6534,550,0,269,8058
SANTA FE,San Justo,Vera y Pintado (Est. Guaraníes),24,0,0,190,0,0,134,348
SANTA FE,San Justo,Videla,117,0,0,230,0,0,32,379
SANTA FE,San Justo,Colonia Dolores,0,0,0,0,0,0,22,22
SANTA FE,San Justo,La Penca y Caraguatá,0,0,0,0,0,0,26,26
SANTA FE,San Justo,San Martín Norte,0,0,0,0,0,0,35,35
SANTA FE,San Justo,Silva (Est. Abipones),0,0,0,0,0,0,25,25
SANTA FE,San Lorenzo,Aldao,0,460,0,0,0,0,0,460
SANTA FE,San Lorenzo,Capitán Bermúdez,3656,1201,1,2227,0,0,0,7085
SANTA FE,San Lorenzo,Carcarañá,935,1,0,0,0,0,0,936
SANTA FE,San Lorenzo,Coronel Arnold,0,0,0,238,0,0,0,238
SANTA FE,San Lorenzo,Fray Luis Beltrán,2226,24,0,938,0,0,0,3188
SANTA FE,San Lorenzo,Fuentes,80,0,0,769,0,0,0,849
SANTA FE,San Lorenzo,Luis Palacios (Est. La Salada),0,478,0,0,0,0,82,560
SANTA FE,San Lorenzo,Puerto General San Martín,0,0,0,2602,215,2,13,2832
SANTA FE,San Lorenzo,Pujato,819,0,0,0,0,0,103,922
SANTA FE,San Lorenzo,Ricardone,388,1010,0,12,0,1,22,1433
SANTA FE,San Lorenzo,Roldán,2157,1963,0,2956,2,0,131,7209
SANTA FE,San Lorenzo,San Jerónimo Sud,161,939,0,2,0,0,0,1102
SANTA FE,San Lorenzo,San Lorenzo,2326,5159,0,930,0,0,53,8468
SANTA FE,San Lorenzo,Timbúes,218,0,0,1207,134,1,78,1638
SANTA FE,San Lorenzo,Villa Elvira,0,0,0,0,0,0,30,30
SANTA FE,San Lorenzo,Villa Mugueta,0,1,0,0,0,1,0,2
SANTA FE,San Martín,Carlos Pellegrini,408,0,0,0,0,0,0,408
SANTA FE,San Martín,Casas,0,59,0,0,0,0,0,59
SANTA FE,San Martín,Castelar,0,0,0,0,0,0,1,1
SANTA FE,San Martín,Colonia Belgrano,0,93,0,0,250,0,0,343
SANTA FE,San Martín,El Trébol,880,2729,0,320,0,0,79,4008
SANTA FE,San Martín,Landeta,200,193,0,0,0,0,0,393
SANTA FE,San Martín,Las Bandurrias,0,26,0,0,0,0,0,26
SANTA FE,San Martín,Las Petacas,0,0,0,0,0,0,0,0
SANTA FE,San Martín,Los Cardos,88,240,0,0,0,1,0,329
SANTA FE,San Martín,María Susana,483,0,0,634,2,0,40,1159
SANTA FE,San Martín,Piamonte,0,1213,0,0,0,0,0,1213
SANTA FE,San Martín,San Jorge,1897,980,0,1817,0,1,183,4878
SANTA FE,San Martín,San Martín de las Escobas,853,744,0,0,0,0,98,1695
SANTA FE,San Martín,Sastre,423,0,0,474,0,0,145,1042
SANTA FE,Vera,Calchaquí,460,0,0,0,1050,1,230,1741
SANTA FE,Vera,Cañada Ombú,0,0,0,0,0,1,34,35
SANTA FE,Vera,Colmena,0,0,0,0,0,1,0,1
SANTA FE,Vera,Fortín Olmos,0,0,0,0,0,2,337,339
SANTA FE,Vera,Garabato,0,0,0,0,0,0,104,104
SANTA FE,Vera,Intiyaco,0,0,0,0,0,2,97,99
SANTA FE,Vera,La Gallareta,0,0,0,0,0,0,373,373
SANTA FE,Vera,Margarita,0,740,0,0,0,2,106,848
SANTA FE,Vera,Paraje 29,0,0,0,0,0,1,34,35
SANTA FE,Vera,Pozo de los Indios,0,0,0,0,0,2,23,25
SANTA FE,Vera,Toba,0,0,0,0,0,1,52,53
SANTA FE,Vera,Vera (Est. Gobernador Vera),1064,0,0,0,2000,0,801,3865
SANTA FE,Vera,Los Amores,0,0,0,0,0,0,122,122
SANTA FE,Vera,Pueblo Santa Lucía,0,0,0,0,0,0,30,30
SANTA FE,Vera,Golondrina,0,0,0,0,0,0,70,70
SANTA FE,Vera,Kilómetro 115,0,0,0,0,0,0,3,3
SANTA FE,Vera,Tartagal (Est. El Tajamar),0,0,0,0,0,0,210,210
SANTIAGO DEL ESTERO,Aguirre,Malbrán,12,0,0,0,0,1,0,13
SANTIAGO DEL ESTERO,Aguirre,Villa General Mitre (Est. Pinto),0,229,0,0,0,3,2,234
SANTIAGO DEL ESTERO,Alberdi,Campo Gallo,0,0,0,5,11,4,35,55
